Episode 224/10000, Avg Reward: 1310528.00, Explained Var: 0.00
Episode 225/10000, Avg Reward: 1245451.12, Explained Var: 0.00
Episode 226/10000, Avg Reward: 951892.69, Explained Var: 0.00
Episode 227/10000, Avg Reward: 1306398.75, Explained Var: 0.00
Episode 228/10000, Avg Reward: 3659945.25, Explained Var: 0.00
Episode 229/10000, Avg Reward: 2178409.50, Explained Var: 0.00
Episode 230/10000, Avg Reward: 2864846.00, Explained Var: 0.00
Episode 231/10000, Avg Reward: 694894.94, Explained Var: 0.00
Episode 232/10000, Avg Reward: 385779.62, Explained Var: 0.00
Episode 233/10000, Avg Reward: 404725.03, Explained Var: 0.00
Episode 234/10000, Avg Reward: 99238.31, Explained Var: 0.00
Episode 235/10000, Avg Reward: 4823903.50, Explained Var: 0.00
Episode 236/10000, Avg Reward: 865277.25, Explained Var: 0.00
Episode 237/10000, Avg Reward: 2145570.00, Explained Var: 0.00
Episode 238/10000, Avg Reward: 1044851.75, Explained Var: 0.00
Episode 239/10000, Avg Reward: 1578196.00, Explained Var: 0.00
Episode 240/10000, Avg Reward: 1571149.50, Explained Var: 0.00
Episode 241/10000, Avg Reward: 160342.42, Explained Var: 0.00
Episode 242/10000, Avg Reward: 169745.61, Explained Var: 0.00
Episode 243/10000, Avg Reward: 576988.06, Explained Var: 0.00
Episode 244/10000, Avg Reward: 559150.06, Explained Var: 0.00
Episode 245/10000, Avg Reward: 374800.09, Explained Var: 0.00
Episode 246/10000, Avg Reward: 304225.44, Explained Var: 0.00
Episode 247/10000, Avg Reward: 10360282.00, Explained Var: 0.00
Episode 248/10000, Avg Reward: 766386.06, Explained Var: 0.00
Episode 249/10000, Avg Reward: 165067.70, Explained Var: 0.00
Episode 250/10000, Avg Reward: 1683024.38, Explained Var: 0.00
Episode 251/10000, Avg Reward: 998590.31, Explained Var: 0.00
Episode 252/10000, Avg Reward: 1120360.12, Explained Var: 0.00
Episode 253/10000, Avg Reward: 389881.66, Explained Var: 0.00
Episode 254/10000, Avg Reward: 649090.25, Explained Var: 0.00
Episode 255/10000, Avg Reward: 1561401.12, Explained Var: 0.00
Episode 256/10000, Avg Reward: 1005691.50, Explained Var: 0.00
Episode 257/10000, Avg Reward: 4413252.00, Explained Var: 0.00
Episode 258/10000, Avg Reward: 491007.91, Explained Var: 0.00
Episode 259/10000, Avg Reward: 1346843.12, Explained Var: 0.00
Episode 260/10000, Avg Reward: 1632490.50, Explained Var: 0.00
Episode 261/10000, Avg Reward: 341079.72, Explained Var: 0.00
Episode 262/10000, Avg Reward: 945303.50, Explained Var: 0.00
Episode 263/10000, Avg Reward: 2649654.75, Explained Var: 0.00
Episode 264/10000, Avg Reward: 876182.31, Explained Var: 0.00
Episode 265/10000, Avg Reward: 439507.88, Explained Var: 0.00
Episode 266/10000, Avg Reward: 2400969.75, Explained Var: 0.00
