Episode 249/10000, Avg Reward: 436.76, Explained Var: 0.01
Episode 250/10000, Avg Reward: 759.31, Explained Var: 0.01
Episode 251/10000, Avg Reward: 140.88, Explained Var: 0.03
Episode 252/10000, Avg Reward: 473.88, Explained Var: 0.01
Episode 253/10000, Avg Reward: 345.94, Explained Var: 0.01
Episode 254/10000, Avg Reward: 332.46, Explained Var: 0.01
Episode 255/10000, Avg Reward: 35.07, Explained Var: 0.10
Episode 256/10000, Avg Reward: 33.98, Explained Var: 0.17
Episode 257/10000, Avg Reward: 413.21, Explained Var: 0.01
Episode 258/10000, Avg Reward: 205.36, Explained Var: 0.02
Episode 259/10000, Avg Reward: 356.17, Explained Var: 0.01
Episode 260/10000, Avg Reward: 303.38, Explained Var: 0.02
Episode 261/10000, Avg Reward: 128.40, Explained Var: 0.03
Episode 262/10000, Avg Reward: 34.40, Explained Var: 0.09
Episode 263/10000, Avg Reward: 21.94, Explained Var: 0.16
Episode 264/10000, Avg Reward: 567.50, Explained Var: 0.01
Episode 265/10000, Avg Reward: 38.50, Explained Var: 0.13
Episode 266/10000, Avg Reward: 193.17, Explained Var: 0.02
Episode 267/10000, Avg Reward: 427.36, Explained Var: 0.02
Episode 268/10000, Avg Reward: 252.99, Explained Var: 0.02
Episode 269/10000, Avg Reward: 32.36, Explained Var: 0.08
Episode 270/10000, Avg Reward: 53.00, Explained Var: 0.10
Episode 271/10000, Avg Reward: 61.03, Explained Var: 0.08
Episode 272/10000, Avg Reward: 600.59, Explained Var: 0.02
Episode 273/10000, Avg Reward: 496.72, Explained Var: 0.01
Episode 274/10000, Avg Reward: 362.84, Explained Var: 0.01
Episode 275/10000, Avg Reward: 139.42, Explained Var: 0.03
Episode 276/10000, Avg Reward: 483.39, Explained Var: 0.01
Episode 277/10000, Avg Reward: 420.63, Explained Var: 0.01
Episode 278/10000, Avg Reward: 329.95, Explained Var: 0.02
Episode 279/10000, Avg Reward: 417.85, Explained Var: 0.01
Episode 280/10000, Avg Reward: 27.03, Explained Var: 0.21
Episode 281/10000, Avg Reward: 402.93, Explained Var: 0.01
Episode 282/10000, Avg Reward: 712.03, Explained Var: 0.01
Episode 283/10000, Avg Reward: 136.10, Explained Var: 0.03
Episode 284/10000, Avg Reward: 136.10, Explained Var: 0.05
Episode 285/10000, Avg Reward: 77.41, Explained Var: 0.06
Episode 286/10000, Avg Reward: 32.09, Explained Var: 0.22
Episode 287/10000, Avg Reward: 326.69, Explained Var: 0.02
