Episode 302/10000, Avg Reward: 265.74, Explained Var: 0.03
Episode 303/10000, Avg Reward: 106.97, Explained Var: 0.07
Episode 304/10000, Avg Reward: 354.57, Explained Var: 0.02
Episode 305/10000, Avg Reward: 118.86, Explained Var: 0.04
Episode 306/10000, Avg Reward: 273.83, Explained Var: 0.02
Episode 307/10000, Avg Reward: 484.17, Explained Var: 0.01
Episode 308/10000, Avg Reward: 151.55, Explained Var: 0.04
Episode 309/10000, Avg Reward: 112.16, Explained Var: 0.05
Episode 310/10000, Avg Reward: 576.15, Explained Var: 0.01
Episode 311/10000, Avg Reward: 109.19, Explained Var: 0.06
Episode 312/10000, Avg Reward: 117.30, Explained Var: 0.06
Episode 313/10000, Avg Reward: 449.99, Explained Var: 0.02
Episode 314/10000, Avg Reward: 274.71, Explained Var: 0.03
Episode 315/10000, Avg Reward: 346.47, Explained Var: 0.02
Episode 316/10000, Avg Reward: 823.01, Explained Var: 0.01
Episode 317/10000, Avg Reward: 497.97, Explained Var: 0.01
Episode 318/10000, Avg Reward: 324.73, Explained Var: 0.03
Episode 319/10000, Avg Reward: 836.54, Explained Var: 0.02
Episode 320/10000, Avg Reward: 588.63, Explained Var: 0.01
Episode 321/10000, Avg Reward: 580.99, Explained Var: 0.01
Episode 322/10000, Avg Reward: 725.92, Explained Var: 0.01
Episode 323/10000, Avg Reward: 241.43, Explained Var: 0.04
Episode 324/10000, Avg Reward: 375.74, Explained Var: 0.02
Episode 325/10000, Avg Reward: 1.54, Explained Var: -3.81
Episode 326/10000, Avg Reward: 102.43, Explained Var: 0.08
Episode 327/10000, Avg Reward: 463.40, Explained Var: 0.02
Episode 328/10000, Avg Reward: 195.83, Explained Var: 0.04
Episode 329/10000, Avg Reward: 397.33, Explained Var: 0.02
Episode 330/10000, Avg Reward: 99.92, Explained Var: 0.09
Episode 331/10000, Avg Reward: 396.74, Explained Var: 0.02
Episode 332/10000, Avg Reward: 727.46, Explained Var: 0.01
Episode 333/10000, Avg Reward: 253.81, Explained Var: 0.03
Episode 334/10000, Avg Reward: 360.52, Explained Var: 0.02
Episode 335/10000, Avg Reward: 535.06, Explained Var: 0.02
Episode 336/10000, Avg Reward: 854.19, Explained Var: 0.02
Episode 337/10000, Avg Reward: 140.48, Explained Var: 0.03
Episode 338/10000, Avg Reward: 437.97, Explained Var: 0.01
Episode 339/10000, Avg Reward: 511.85, Explained Var: 0.02
Episode 340/10000, Avg Reward: 195.82, Explained Var: 0.05
Episode 341/10000, Avg Reward: 717.57, Explained Var: 0.02
Episode 342/10000, Avg Reward: 166.42, Explained Var: 0.06
