Episode 233/10000, Avg Reward: 549.49, Explained Var: 0.01
Episode 234/10000, Avg Reward: 112.28, Explained Var: 0.02
Episode 235/10000, Avg Reward: 167.36, Explained Var: 0.03
Episode 236/10000, Avg Reward: 603.14, Explained Var: 0.01
Episode 237/10000, Avg Reward: 414.89, Explained Var: 0.02
Episode 238/10000, Avg Reward: 286.57, Explained Var: 0.01
Episode 239/10000, Avg Reward: 1502.86, Explained Var: 0.01
Episode 240/10000, Avg Reward: 710.52, Explained Var: 0.01
Episode 241/10000, Avg Reward: 243.05, Explained Var: 0.02
Episode 242/10000, Avg Reward: 29.95, Explained Var: 0.10
Episode 243/10000, Avg Reward: 118.92, Explained Var: 0.03
Episode 244/10000, Avg Reward: 945.10, Explained Var: 0.01
Episode 245/10000, Avg Reward: 727.50, Explained Var: 0.01
Episode 246/10000, Avg Reward: 336.23, Explained Var: 0.01
Episode 247/10000, Avg Reward: 24.05, Explained Var: 0.15
Episode 248/10000, Avg Reward: 75.76, Explained Var: 0.06
Episode 249/10000, Avg Reward: 134.19, Explained Var: 0.03
Episode 250/10000, Avg Reward: 535.29, Explained Var: 0.02
Episode 251/10000, Avg Reward: 263.45, Explained Var: 0.01
Episode 252/10000, Avg Reward: 781.35, Explained Var: 0.01
Episode 253/10000, Avg Reward: 60.14, Explained Var: 0.06
Episode 254/10000, Avg Reward: 489.41, Explained Var: 0.02
Episode 255/10000, Avg Reward: 75.13, Explained Var: 0.05
Episode 256/10000, Avg Reward: 356.69, Explained Var: 0.01
Episode 257/10000, Avg Reward: 29.26, Explained Var: 0.15
Episode 258/10000, Avg Reward: 37.68, Explained Var: 0.12
Episode 259/10000, Avg Reward: 29.21, Explained Var: 0.20
Episode 260/10000, Avg Reward: 390.17, Explained Var: 0.02
Episode 261/10000, Avg Reward: 134.19, Explained Var: 0.04
Episode 262/10000, Avg Reward: 795.93, Explained Var: 0.01
Episode 263/10000, Avg Reward: 284.45, Explained Var: 0.01
Episode 264/10000, Avg Reward: 72.88, Explained Var: 0.09
Episode 265/10000, Avg Reward: 357.64, Explained Var: 0.02
Episode 266/10000, Avg Reward: 256.51, Explained Var: 0.02
Episode 267/10000, Avg Reward: 132.08, Explained Var: 0.03
Episode 268/10000, Avg Reward: 34.31, Explained Var: 0.11
Episode 269/10000, Avg Reward: 287.31, Explained Var: 0.02
Episode 270/10000, Avg Reward: 21.20, Explained Var: 0.17
Episode 271/10000, Avg Reward: 137.28, Explained Var: 0.03
Episode 272/10000, Avg Reward: 31.26, Explained Var: 0.14
Episode 273/10000, Avg Reward: 144.88, Explained Var: 0.05
Episode 274/10000, Avg Reward: 263.91, Explained Var: 0.02
Episode 275/10000, Avg Reward: 27.87, Explained Var: 0.22
Episode 276/10000, Avg Reward: 23.22, Explained Var: 0.15
Episode 277/10000, Avg Reward: 63.86, Explained Var: 0.10
Episode 278/10000, Avg Reward: 168.03, Explained Var: 0.03
Episode 279/10000, Avg Reward: 582.04, Explained Var: 0.01
Episode 280/10000, Avg Reward: 284.26, Explained Var: 0.02
Episode 281/10000, Avg Reward: 333.28, Explained Var: 0.02
Episode 282/10000, Avg Reward: 140.27, Explained Var: 0.04
Episode 283/10000, Avg Reward: 49.34, Explained Var: 0.11
Episode 284/10000, Avg Reward: 385.68, Explained Var: 0.01
Episode 285/10000, Avg Reward: 30.78, Explained Var: 0.11
Episode 286/10000, Avg Reward: 386.02, Explained Var: 0.02
Episode 287/10000, Avg Reward: 781.95, Explained Var: 0.01
Episode 288/10000, Avg Reward: 481.73, Explained Var: 0.01
Episode 289/10000, Avg Reward: 235.12, Explained Var: 0.03
Episode 290/10000, Avg Reward: 212.26, Explained Var: 0.03
Episode 291/10000, Avg Reward: 386.16, Explained Var: 0.02
Episode 292/10000, Avg Reward: 480.37, Explained Var: 0.01
Episode 293/10000, Avg Reward: 356.86, Explained Var: 0.02
Episode 294/10000, Avg Reward: 110.98, Explained Var: 0.05
Episode 295/10000, Avg Reward: 136.61, Explained Var: 0.05
Episode 296/10000, Avg Reward: 203.59, Explained Var: 0.03
Episode 297/10000, Avg Reward: 400.45, Explained Var: 0.02
Episode 298/10000, Avg Reward: 463.13, Explained Var: 0.02
Episode 299/10000, Avg Reward: 139.95, Explained Var: 0.05
Episode 300/10000, Avg Reward: 559.62, Explained Var: 0.02
