sld,occurrence_count,words,word_count,length,vowels,consonants,vowel_percentage
innovacion-gascaribe,141167,"['nova', 'gas', 'caribe']",3,20,9,11,45.0
enginetroublecode,140730,"['engine', 'trouble', 'code']",3,17,8,9,47.06
weddingdressestoday,138472,"['wedding', 'dresses', 'today']",3,19,6,13,31.58
allgenderhealth,138450,"['all', 'gender', 'health']",3,15,5,10,33.33
sandboxwordpress,136904,"['sandbox', 'wordpress']",2,16,4,12,25.0
staysecuregroup,136556,"['stay', 'secure', 'group']",3,15,6,9,40.0
digitaloceanspaces,136296,"['digital', 'ocean', 'spaces']",3,18,8,10,44.44
schooljotter2,135919,"['school', 'otter']",2,13,4,9,30.77
hotels-brazil,135569,"['hotels', 'brazil']",2,13,4,9,30.77
hammerwebsites,133833,"['hammer', 'websites']",2,14,5,9,35.71
hosted-by-vdsina,133179,['hosted'],1,16,4,12,25.0
rockstrailersales,132372,"['rocks', 'trailer', 'sales']",3,17,6,11,35.29
utc-fire-security,132044,"['utc', 'fire', 'security']",3,17,6,11,35.29
thebestlisting,131941,"['the', 'best', 'listing']",3,14,4,10,28.57
empresas-espana,130512,"['emp', 'res', 'espana']",3,15,6,9,40.0
minecraftturk,128914,"['minecraft', 'turk']",2,13,4,9,30.77
oss-marketplace,128898,"['oss', 'marketplace']",2,15,5,10,33.33
songlyricslibrary,127521,"['song', 'lyrics', 'library']",3,17,4,13,23.53
uni-greifswald,126930,"['uni', 'greifswald']",2,14,5,9,35.71
kennasecurity,126828,"['kenna', 'security']",2,13,5,8,38.46
pythonanywhere,126016,"['python', 'anywhere']",2,14,4,10,28.57
nudeglamourbabe,124146,"['nude', 'glamour', 'babe']",3,15,7,8,46.67
jewelershowcase,123917,"['jeweler', 'showcase']",2,15,6,9,40.0
uni-duisburg-essen,123210,"['uni', 'duisburg', 'essen']",3,18,7,11,38.89
broadbandscope,122910,"['broadband', 'scope']",2,14,5,9,35.71
camgirlrumors,121776,"['cam', 'girl', 'rumors']",3,13,4,9,30.77
dedicatedpanel,121654,"['dedicated', 'panel']",2,14,6,8,42.86
lightinthebox,119591,"['light', 'the', 'box']",3,13,4,9,30.77
volkssolidaritaet,119363,"['volks', 'solid', 'arita']",3,17,7,10,41.18
suzyq-records,119346,"['suzy', 'records']",2,13,3,10,23.08
mlmsuccessfactor,119049,"['success', 'factor']",2,16,4,12,25.0
hosted-by-worldstream,118507,"['hosted', 'world', 'stream']",3,21,5,16,23.81
startdedicated,118153,"['start', 'dedicated']",2,14,5,9,35.71
newcominternational,117825,"['new', 'com', 'international']",3,19,8,11,42.11
decodingplaces,117045,"['decoding', 'places']",2,14,5,9,35.71
ondigitalocean,116525,"['digital', 'ocean']",2,14,7,7,50.0
dongadfadftian,116518,"['dong', 'adf', 'adf', 'tian']",4,14,5,9,35.71
partnershipbroadband,115229,"['partnership', 'broadband']",2,20,6,14,30.0
kundencontroller,114910,"['nden', 'controller']",2,16,5,11,31.25
lordsrecoveryinthailand,114596,"['lords', 'recovery', 'thailand']",3,23,8,15,34.78
shoppsychicspectrum,114456,"['shop', 'psychic', 'spectrum']",3,19,4,15,21.05
agent-bord-030-if,114416,"['agent', 'bord', '030']",3,17,4,13,23.53
pmpl-broadband,113939,"['mpl', 'broadband']",2,14,3,11,21.43
highrevenuegate,112869,"['high', 'revenue', 'gate']",3,15,7,8,46.67
marketbitcoin,112568,"['market', 'bitcoin']",2,13,5,8,38.46
hotelsinflorida,111964,"['hotels', 'florida']",2,15,6,9,40.0
alltimesportscardsandgifts,111948,"['all', 'time', 'sports', 'cards', 'and', 'gifts']",6,26,7,19,26.92
made-in-china,109780,"['made', 'china']",2,13,5,8,38.46
uni-wuppertal,109080,"['uni', 'wuppertal']",2,13,5,8,38.46
hostingmerahputih,108956,"['hosting', 'rah', 'putih']",3,17,6,11,35.29
iplannetworks,108741,"['plan', 'networks']",2,13,4,9,30.77
senecadigital,107750,"['seneca', 'digital']",2,13,6,7,46.15
pamcleaningservices,107739,"['pam', 'cleaning', 'services']",3,19,7,12,36.84
potala-palace,107736,"['potala', 'palace']",2,13,6,7,46.15
freedownloadmp3,107137,"['free', 'download']",2,15,5,10,33.33
