word,phonotactic_probability,log_phonotactic_probability
darnel.info,8.822949238991912e-56,-126.76740901270259
andmile.it,7.961650547450751e-51,-115.35720340912778
darnel.ru,2.515686795110138e-44,-100.39119824589909
andmile.com,8.475046193825778e-56,-126.80763910381599
darnel.cn,1.0249639697098336e-33,-75.96065060833357
cofstr.com,6.358037586615347e-33,-74.13558829462816
cmonv.com,4.553570843840834e-35,-79.07456652877976
cmonv.org,9.604726317241951e-34,-76.02563785976311
alemir.com,2.1056438938812395e-54,-123.5949737134887
alemir.de,4.821749457857893e-53,-120.46387310841345
ardinv.com,1.3787309092435282e-46,-105.59775083265994
banlis.com,5.564218632501461e-44,-99.59738752432561
antric.net,2.900189645787321e-44,-100.24896796178467
antric.com,4.5185172699571036e-46,-104.41073037531818
antric.de,1.0056228664080888e-43,-99.00555188163929
baozue.com,2.4840051525003876e-56,-128.03489296932196
afilet.com,9.920376431815644e-55,-124.34758924734008
adnsur.com,2.2756047225925205e-45,-102.79408335552235
adnsur.info,1.004974892813107e-56,-128.9398026487431
ceramist.com,2.9313539135331976e-56,-127.86930080483658
ceramist.de,8.785712473489575e-56,-126.7716383881789
ceramist.nl,1.8388903247027963e-45,-103.00716687944036
ceramist.jp,1.2926743408764007e-47,-107.96478616585793
ceramist.net,6.780848249620839e-56,-127.03066300297638
ceramist.cn,2.4114397449005667e-45,-102.73610521108148
ceramist.pl,5.414689912270761e-45,-101.92721357050405
adinel.nl,9.114335375044728e-45,-101.40648069477885
ceramist.ru,5.884852544923573e-54,-122.56721333736789
adinel.com,9.051819861450796e-55,-124.43921428751342
alifdev.com,1.6146716698042094e-58,-133.0708037580792
midplate.com,2.3153321221480385e-57,-130.40779715812184
beyouni.com,2.1810426815351874e-60,-137.3753025229058
chrique.com,6.244545180444296e-54,-122.50788671014554
bdituan.com,5.372485512284936e-53,-120.35571927579663
brmedia.uk,1.9643052990799615e-46,-105.24377563227783
brmedia.de,4.887632378797051e-50,-113.54254663958173
brmedia.xyz,4.2446589285669396e-45,-102.17066771482405
brmedia.com,3.2314580647386447e-51,-116.25890629408629
brmedia.nl,1.3576906280950601e-40,-91.79761853094195
brmedia.net,5.006440022752748e-51,-115.82111465447798
brmedia.ru,3.4402496779594673e-50,-113.89371060014867
brmedia.cn,2.6583164780324216e-40,-91.1257107003312
brmedia.fr,5.8692949686670975e-40,-90.33366920068777
brmedia.au,1.5865743464813066e-53,-121.57543273579279
childent.com,4.638043280770193e-47,-106.68720680015583
aprimex.net,1.8941521783733275e-56,-128.30599386852037
aprimex.com,9.19301117924806e-56,-126.72632166672476
aprimex.org,8.265377185684629e-57,-129.13527493392746
aprimex.fr,1.0533650570782332e-45,-103.56433932877553
carnut.com,6.095795164647983e-45,-101.808729968512
carnut.de,1.8270023065667163e-44,-100.71106755185431
carnut.info,1.153750667688805e-55,-126.4991620291259
carnut.org,8.887810513958532e-45,-101.43164845193358
carnut.net,1.410087733910958e-44,-100.9700921666518
alterin.net,1.3990020853003578e-57,-130.91159111441343
alterin.info,1.1589887604764164e-67,-154.12565336389494
alterin.com,1.9555599073111541e-56,-128.27408865763158
alterin.it,2.650934076383476e-54,-123.36468296213326
bewola.de,2.3685305552208105e-51,-116.56956999873466
animer.com,1.7207065206429996e-54,-123.79686004737941
animer.net,2.3534095222635445e-54,-123.48372988446596
animer.de,3.940274876085421e-53,-120.66575944230416
animer.io,9.084180593225223e-60,-135.9485710752332
animer.cn,1.4155165891199873e-43,-98.66366445362432
animer.pl,2.880958156105609e-43,-97.95303606683396
animer.jp,1.5368241893063243e-45,-103.18661111233536
animer.ru,7.8790759297673205e-56,-126.8805545784692
animer.org,5.853936560516314e-55,-124.87506576340785
animer.info,7.599153025029395e-66,-149.94257934060016
softza.com,1.8865921788879924e-44,-100.6789719701252
belodi.com,4.310823565968205e-53,-120.57588096023149
belodi.de,6.520190087013137e-52,-117.85952130572693
bdrose.com,1.2650163065550093e-44,-101.07865907908429
bdrose.net,1.9598670753860085e-44,-100.64086743947598
bdrose.cn,1.0406490275673357e-33,-75.9454634853292
badpig.com,2.9394773408327116e-46,-104.84068248740637
badpig.fr,1.601691176684598e-34,-77.81683310533973
badpig.cn,2.4181223755322425e-35,-79.70748689365126
foresnt.com,5.464003832347758e-46,-104.2207324540765
dhartis.com,2.793737069986493e-45,-102.58894903355578
contg.com,2.626225959710454e-35,-79.62493043550299
contg.ru,8.723246049663627e-32,-71.51673155375589
ambinet.net,4.519561252531e-56,-127.43635028655794
ambinet.de,5.855840480323693e-56,-127.17732567176046
ambinet.com,1.9538018072886918e-56,-128.27498808841816
ambinet.uk,5.473072952109453e-54,-122.63975478015011
ambinet.au,4.420614833297403e-61,-138.97141188366507
ambinet.pl,3.6089913564040894e-45,-102.33290085408561
ambinet.it,8.458275188533015e-54,-122.20444974727036
