Episode 373/10000, Avg Reward: 104.32, Explained Var: 0.09
Episode 374/10000, Avg Reward: 106.16, Explained Var: 0.08
Episode 375/10000, Avg Reward: 425.25, Explained Var: 0.03
Episode 376/10000, Avg Reward: 968.96, Explained Var: 0.02
Episode 377/10000, Avg Reward: 264.87, Explained Var: 0.04
Episode 378/10000, Avg Reward: 345.03, Explained Var: 0.03
Episode 379/10000, Avg Reward: 109.72, Explained Var: 0.10
Episode 380/10000, Avg Reward: 882.15, Explained Var: 0.02
Episode 381/10000, Avg Reward: 226.04, Explained Var: 0.04
Episode 382/10000, Avg Reward: 1259.97, Explained Var: 0.01
Episode 383/10000, Avg Reward: 430.39, Explained Var: 0.03
Episode 384/10000, Avg Reward: 630.19, Explained Var: 0.02
Episode 385/10000, Avg Reward: 213.86, Explained Var: 0.04
Episode 386/10000, Avg Reward: 1149.40, Explained Var: 0.02
Episode 387/10000, Avg Reward: 648.90, Explained Var: 0.02
Episode 388/10000, Avg Reward: 416.03, Explained Var: 0.02
Episode 389/10000, Avg Reward: 787.71, Explained Var: 0.01
Episode 390/10000, Avg Reward: 140.70, Explained Var: 0.07
Episode 391/10000, Avg Reward: 636.92, Explained Var: 0.01
Episode 392/10000, Avg Reward: 794.65, Explained Var: 0.01
Episode 393/10000, Avg Reward: 140.00, Explained Var: 0.06
Episode 394/10000, Avg Reward: 96.41, Explained Var: 0.10
Episode 395/10000, Avg Reward: 727.89, Explained Var: 0.02
Episode 396/10000, Avg Reward: 421.44, Explained Var: 0.02
Episode 397/10000, Avg Reward: 186.99, Explained Var: 0.06
Episode 398/10000, Avg Reward: 746.40, Explained Var: 0.02
Episode 399/10000, Avg Reward: 444.96, Explained Var: 0.02
Episode 400/10000, Avg Reward: 135.01, Explained Var: 0.06
Episode 401/10000, Avg Reward: 361.59, Explained Var: 0.03
Episode 402/10000, Avg Reward: 412.29, Explained Var: 0.03
Episode 403/10000, Avg Reward: 139.58, Explained Var: 0.08
Episode 404/10000, Avg Reward: 427.31, Explained Var: 0.02
Episode 405/10000, Avg Reward: 426.50, Explained Var: 0.03
Episode 406/10000, Avg Reward: 129.79, Explained Var: 0.07
Episode 407/10000, Avg Reward: 1123.67, Explained Var: 0.01
Episode 408/10000, Avg Reward: 425.55, Explained Var: 0.02
Episode 409/10000, Avg Reward: 634.71, Explained Var: 0.02
Episode 410/10000, Avg Reward: 815.64, Explained Var: 0.01
Episode 411/10000, Avg Reward: 394.53, Explained Var: 0.02
Episode 412/10000, Avg Reward: 271.13, Explained Var: 0.05
Episode 413/10000, Avg Reward: 1238.32, Explained Var: 0.02
Episode 414/10000, Avg Reward: 92.38, Explained Var: 0.11
Episode 415/10000, Avg Reward: 355.06, Explained Var: 0.03
Episode 416/10000, Avg Reward: 477.12, Explained Var: 0.03
Episode 417/10000, Avg Reward: 445.67, Explained Var: 0.03
Episode 418/10000, Avg Reward: 264.52, Explained Var: 0.04
Episode 419/10000, Avg Reward: 104.47, Explained Var: 0.08
Episode 420/10000, Avg Reward: 267.99, Explained Var: 0.05
Episode 421/10000, Avg Reward: 717.87, Explained Var: 0.02
Episode 422/10000, Avg Reward: 395.76, Explained Var: 0.04
Episode 423/10000, Avg Reward: 507.06, Explained Var: 0.02
Episode 424/10000, Avg Reward: 353.36, Explained Var: 0.04
Episode 425/10000, Avg Reward: 394.87, Explained Var: 0.03
Episode 426/10000, Avg Reward: 716.09, Explained Var: 0.02
Episode 427/10000, Avg Reward: 567.17, Explained Var: 0.03
Episode 428/10000, Avg Reward: 134.80, Explained Var: 0.08
Episode 429/10000, Avg Reward: 301.91, Explained Var: 0.05
Episode 430/10000, Avg Reward: 260.52, Explained Var: 0.04
Episode 431/10000, Avg Reward: 635.37, Explained Var: 0.01
Episode 432/10000, Avg Reward: 153.54, Explained Var: 0.09
Episode 433/10000, Avg Reward: 379.84, Explained Var: 0.02
Episode 434/10000, Avg Reward: 222.73, Explained Var: 0.06
Episode 435/10000, Avg Reward: 627.99, Explained Var: 0.02
Episode 436/10000, Avg Reward: 430.40, Explained Var: 0.03
