Episode 328/10000, Avg Reward: 823.43, Explained Var: 0.01
Episode 329/10000, Avg Reward: 218.75, Explained Var: 0.04
Episode 330/10000, Avg Reward: 410.65, Explained Var: 0.02
Episode 331/10000, Avg Reward: 306.87, Explained Var: 0.03
Episode 332/10000, Avg Reward: 248.71, Explained Var: 0.03
Episode 333/10000, Avg Reward: 1065.69, Explained Var: 0.01
Episode 334/10000, Avg Reward: 934.83, Explained Var: 0.01
Episode 335/10000, Avg Reward: 1142.85, Explained Var: 0.02
Episode 336/10000, Avg Reward: 437.97, Explained Var: 0.02
Episode 337/10000, Avg Reward: 224.18, Explained Var: 0.04
Episode 338/10000, Avg Reward: 633.57, Explained Var: 0.01
Episode 339/10000, Avg Reward: 346.45, Explained Var: 0.02
Episode 340/10000, Avg Reward: 456.72, Explained Var: 0.02
Episode 341/10000, Avg Reward: 828.90, Explained Var: 0.01
Episode 342/10000, Avg Reward: 589.75, Explained Var: 0.01
Episode 343/10000, Avg Reward: 395.09, Explained Var: 0.02
Episode 344/10000, Avg Reward: 576.70, Explained Var: 0.02
Episode 345/10000, Avg Reward: 96.47, Explained Var: 0.08
Episode 346/10000, Avg Reward: 611.13, Explained Var: 0.01
Episode 347/10000, Avg Reward: 622.16, Explained Var: 0.02
Episode 348/10000, Avg Reward: 340.72, Explained Var: 0.02
Episode 349/10000, Avg Reward: 1056.03, Explained Var: 0.02
Episode 350/10000, Avg Reward: 926.60, Explained Var: 0.01
Episode 351/10000, Avg Reward: 311.64, Explained Var: 0.03
Episode 352/10000, Avg Reward: 789.25, Explained Var: 0.01
Episode 353/10000, Avg Reward: 376.05, Explained Var: 0.02
Episode 354/10000, Avg Reward: 503.78, Explained Var: 0.02
Episode 355/10000, Avg Reward: 453.62, Explained Var: 0.02
Episode 356/10000, Avg Reward: 426.22, Explained Var: 0.03
Episode 357/10000, Avg Reward: 883.11, Explained Var: 0.01
Episode 358/10000, Avg Reward: 166.00, Explained Var: 0.04
Episode 359/10000, Avg Reward: 305.25, Explained Var: 0.03
Episode 360/10000, Avg Reward: 51.84, Explained Var: 0.13
Episode 361/10000, Avg Reward: 394.22, Explained Var: 0.03
Episode 362/10000, Avg Reward: 187.43, Explained Var: 0.03
Episode 363/10000, Avg Reward: 419.01, Explained Var: 0.03
Episode 364/10000, Avg Reward: 273.08, Explained Var: 0.03
Episode 365/10000, Avg Reward: 204.90, Explained Var: 0.04
Episode 366/10000, Avg Reward: 444.43, Explained Var: 0.02
Episode 367/10000, Avg Reward: 849.28, Explained Var: 0.01
Episode 368/10000, Avg Reward: 557.70, Explained Var: 0.02
Episode 369/10000, Avg Reward: 1281.51, Explained Var: 0.01
Episode 370/10000, Avg Reward: 473.84, Explained Var: 0.02
Episode 371/10000, Avg Reward: 343.26, Explained Var: 0.02
Episode 372/10000, Avg Reward: 416.71, Explained Var: 0.02
Episode 373/10000, Avg Reward: 657.19, Explained Var: 0.02
Episode 374/10000, Avg Reward: 582.79, Explained Var: 0.01
Episode 375/10000, Avg Reward: 987.92, Explained Var: 0.01
Episode 376/10000, Avg Reward: 1213.01, Explained Var: 0.01
Episode 377/10000, Avg Reward: 658.45, Explained Var: 0.01
Episode 378/10000, Avg Reward: 221.52, Explained Var: 0.04
Episode 379/10000, Avg Reward: 394.82, Explained Var: 0.02
Episode 380/10000, Avg Reward: 489.22, Explained Var: 0.02
Episode 381/10000, Avg Reward: 717.34, Explained Var: 0.01
Episode 382/10000, Avg Reward: 525.32, Explained Var: 0.02
Episode 383/10000, Avg Reward: 223.18, Explained Var: 0.05
Episode 384/10000, Avg Reward: 597.88, Explained Var: 0.02
Episode 385/10000, Avg Reward: 179.48, Explained Var: 0.05
Episode 386/10000, Avg Reward: 483.03, Explained Var: 0.02
Episode 387/10000, Avg Reward: 481.81, Explained Var: 0.02
Episode 388/10000, Avg Reward: 262.97, Explained Var: 0.03
Episode 389/10000, Avg Reward: 506.50, Explained Var: 0.02
Episode 390/10000, Avg Reward: 515.97, Explained Var: 0.02
Episode 391/10000, Avg Reward: 480.53, Explained Var: 0.02
Episode 392/10000, Avg Reward: 927.29, Explained Var: 0.01
Episode 393/10000, Avg Reward: 1248.88, Explained Var: 0.00
Episode 394/10000, Avg Reward: 290.54, Explained Var: 0.03
Episode 395/10000, Avg Reward: 496.54, Explained Var: 0.02
Episode 396/10000, Avg Reward: 1048.41, Explained Var: 0.01
Episode 397/10000, Avg Reward: 178.10, Explained Var: 0.05
Episode 398/10000, Avg Reward: 214.02, Explained Var: 0.04
Episode 399/10000, Avg Reward: 139.26, Explained Var: 0.07
Episode 400/10000, Avg Reward: 849.28, Explained Var: 0.01
Episode 401/10000, Avg Reward: 517.27, Explained Var: 0.02
Episode 402/10000, Avg Reward: 271.02, Explained Var: 0.04
Episode 403/10000, Avg Reward: 778.23, Explained Var: 0.01
Episode 404/10000, Avg Reward: 426.41, Explained Var: 0.02
Episode 405/10000, Avg Reward: 488.09, Explained Var: 0.02
Episode 406/10000, Avg Reward: 354.70, Explained Var: 0.03
Episode 407/10000, Avg Reward: 796.30, Explained Var: 0.01
Episode 408/10000, Avg Reward: 788.50, Explained Var: 0.02
Episode 409/10000, Avg Reward: 837.34, Explained Var: 0.02
Episode 410/10000, Avg Reward: 790.53, Explained Var: 0.01
Episode 411/10000, Avg Reward: 410.70, Explained Var: 0.03
Episode 412/10000, Avg Reward: 423.56, Explained Var: 0.03
Episode 413/10000, Avg Reward: 640.04, Explained Var: 0.01
Episode 414/10000, Avg Reward: 309.36, Explained Var: 0.02
Episode 415/10000, Avg Reward: 796.24, Explained Var: 0.02
Episode 416/10000, Avg Reward: 403.14, Explained Var: 0.03
Episode 417/10000, Avg Reward: 445.78, Explained Var: 0.03
Episode 418/10000, Avg Reward: 397.35, Explained Var: 0.02
Episode 419/10000, Avg Reward: 266.51, Explained Var: 0.05
Episode 420/10000, Avg Reward: 584.90, Explained Var: 0.03
Episode 421/10000, Avg Reward: 740.42, Explained Var: 0.02
Episode 422/10000, Avg Reward: 359.18, Explained Var: 0.04
Episode 423/10000, Avg Reward: 581.28, Explained Var: 0.02
Episode 424/10000, Avg Reward: 108.62, Explained Var: 0.12
Episode 425/10000, Avg Reward: 729.88, Explained Var: 0.02
Episode 426/10000, Avg Reward: 379.78, Explained Var: 0.03
Episode 427/10000, Avg Reward: 375.75, Explained Var: 0.03
Episode 428/10000, Avg Reward: 397.32, Explained Var: 0.03
Episode 429/10000, Avg Reward: 272.74, Explained Var: 0.04
Episode 430/10000, Avg Reward: 274.82, Explained Var: 0.05
Episode 431/10000, Avg Reward: 837.81, Explained Var: 0.02
Episode 432/10000, Avg Reward: 393.70, Explained Var: 0.04
Episode 433/10000, Avg Reward: 479.45, Explained Var: 0.03
Episode 434/10000, Avg Reward: 1008.09, Explained Var: 0.01
Episode 435/10000, Avg Reward: 431.20, Explained Var: 0.03
Episode 436/10000, Avg Reward: 262.02, Explained Var: 0.04
