Episode 246/10000, Avg Reward: 358.40, Explained Var: 0.01
Episode 247/10000, Avg Reward: 226.42, Explained Var: 0.01
Episode 248/10000, Avg Reward: 368.40, Explained Var: 0.01
Episode 249/10000, Avg Reward: 414.70, Explained Var: 0.01
Episode 250/10000, Avg Reward: 1103.50, Explained Var: 0.01
Episode 251/10000, Avg Reward: 165.91, Explained Var: 0.03
Episode 252/10000, Avg Reward: 329.29, Explained Var: 0.01
Episode 253/10000, Avg Reward: 892.53, Explained Var: 0.01
Episode 254/10000, Avg Reward: 266.84, Explained Var: 0.02
Episode 255/10000, Avg Reward: 947.55, Explained Var: 0.00
Episode 256/10000, Avg Reward: 754.16, Explained Var: 0.01
Episode 257/10000, Avg Reward: 342.47, Explained Var: 0.01
Episode 258/10000, Avg Reward: 495.56, Explained Var: 0.01
Episode 259/10000, Avg Reward: 62.35, Explained Var: 0.04
Episode 260/10000, Avg Reward: 142.27, Explained Var: 0.03
Episode 261/10000, Avg Reward: 224.30, Explained Var: 0.02
Episode 262/10000, Avg Reward: 137.83, Explained Var: 0.04
Episode 263/10000, Avg Reward: 744.97, Explained Var: 0.01
Episode 264/10000, Avg Reward: 694.41, Explained Var: 0.01
Episode 265/10000, Avg Reward: 104.10, Explained Var: 0.05
Episode 266/10000, Avg Reward: 138.19, Explained Var: 0.02
Episode 267/10000, Avg Reward: 248.86, Explained Var: 0.02
Episode 268/10000, Avg Reward: 1011.59, Explained Var: 0.00
Episode 269/10000, Avg Reward: 793.80, Explained Var: 0.01
Episode 270/10000, Avg Reward: 623.39, Explained Var: 0.01
Episode 271/10000, Avg Reward: 446.70, Explained Var: 0.01
Episode 272/10000, Avg Reward: 840.51, Explained Var: 0.01
Episode 273/10000, Avg Reward: 507.59, Explained Var: 0.01
Episode 274/10000, Avg Reward: 308.16, Explained Var: 0.01
Episode 275/10000, Avg Reward: 110.72, Explained Var: 0.04
Episode 276/10000, Avg Reward: 135.27, Explained Var: 0.04
Episode 277/10000, Avg Reward: 174.57, Explained Var: 0.02
Episode 278/10000, Avg Reward: 451.58, Explained Var: 0.01
Episode 279/10000, Avg Reward: 220.62, Explained Var: 0.03
Episode 280/10000, Avg Reward: 894.68, Explained Var: 0.01
Episode 281/10000, Avg Reward: 269.90, Explained Var: 0.03
Episode 282/10000, Avg Reward: 100.78, Explained Var: 0.05
Episode 283/10000, Avg Reward: 110.25, Explained Var: 0.05
Episode 284/10000, Avg Reward: 338.41, Explained Var: 0.01
Episode 285/10000, Avg Reward: 274.05, Explained Var: 0.02
Episode 286/10000, Avg Reward: 106.17, Explained Var: 0.05
Episode 287/10000, Avg Reward: 660.51, Explained Var: 0.01
Episode 288/10000, Avg Reward: 714.76, Explained Var: 0.01
Episode 289/10000, Avg Reward: 173.36, Explained Var: 0.02
Episode 290/10000, Avg Reward: 140.47, Explained Var: 0.03
Episode 291/10000, Avg Reward: 102.73, Explained Var: 0.06
Episode 292/10000, Avg Reward: 815.85, Explained Var: 0.01
Episode 293/10000, Avg Reward: 468.06, Explained Var: 0.01
Episode 294/10000, Avg Reward: 309.19, Explained Var: 0.02
Episode 295/10000, Avg Reward: 952.82, Explained Var: 0.01
Episode 296/10000, Avg Reward: 715.23, Explained Var: 0.01
Episode 297/10000, Avg Reward: 1242.95, Explained Var: 0.01
Episode 298/10000, Avg Reward: 255.68, Explained Var: 0.03
Episode 299/10000, Avg Reward: 440.26, Explained Var: 0.01
Episode 300/10000, Avg Reward: 184.54, Explained Var: 0.04
Episode 301/10000, Avg Reward: 356.61, Explained Var: 0.02
Episode 302/10000, Avg Reward: 765.46, Explained Var: 0.01
Episode 303/10000, Avg Reward: 106.23, Explained Var: 0.07
Episode 304/10000, Avg Reward: 154.38, Explained Var: 0.04
Episode 305/10000, Avg Reward: 200.58, Explained Var: 0.05
Episode 306/10000, Avg Reward: 762.09, Explained Var: 0.01
Episode 307/10000, Avg Reward: 213.86, Explained Var: 0.03
Episode 308/10000, Avg Reward: 100.78, Explained Var: 0.06
Episode 309/10000, Avg Reward: 791.97, Explained Var: 0.01
Episode 310/10000, Avg Reward: 266.68, Explained Var: 0.02
Episode 311/10000, Avg Reward: 448.25, Explained Var: 0.02
Episode 312/10000, Avg Reward: 413.98, Explained Var: 0.02
